id_projeto,nome_projeto,gerente,data_inicio,data_fim_prevista,custo_orcado,custo_real,percentual_conclusao
122,Expansão Beta 122,Carlos,2024-06-30,2024-12-21,120000,109491,54
123,Obra Beta 123,Carlos,2024-04-04,2024-06-03,90000,76140,23
124,Reforma Gama 124,João,2024-09-14,2024-10-24,495000,425609,1
125,Manutenção Beta 125,Carlos,2024-08-08,2024-12-09,95000,112734,58
126,Obra Beta 126,Carlos,2024-05-11,2024-08-13,350000,352962,17
127,Reforma Delta 127,Ana,2024-06-07,2024-07-16,445000,451522,83
128,Manutenção Gama 128,Ana,2024-06-09,2024-09-06,335000,364674,1
129,Expansão Delta 129,Ana,2024-03-12,2024-08-31,110000,88339,9
130,Manutenção Delta 130,Ana,2024-01-22,2024-04-16,195000,181136,13
131,Instalação Beta 131,Marina,2024-07-08,2024-12-07,405000,446881,95
132,Expansão Delta 132,João,2024-10-18,2025-03-28,330000,343837,55
133,Expansão Alpha 133,Ana,2024-03-25,2024-06-15,360000,421026,95
134,Manutenção Gama 134,Ana,2024-03-31,2024-08-09,160000,138957,98
135,Reforma Delta 135,Ana,2024-08-22,2024-09-30,280000,312925,90
136,Obra Alpha 136,Ana,2024-05-18,2024-09-24,90000,103989,54
137,Reforma Beta 137,Ricardo,2024-04-10,2024-09-10,140000,151307,57
138,Manutenção Gama 138,Carlos,2024-08-23,2024-12-29,355000,298432,49
139,Manutenção Delta 139,Carlos,2024-10-23,2024-12-17,125000,148584,46
140,Expansão Beta 140,Ricardo,2024-08-02,2024-11-06,160000,183194,71
141,Reforma Beta 141,Marina,2024-08-13,2024-12-18,115000,101010,95
142,Instalação Beta 142,Carlos,2024-03-09,2024-04-09,305000,281077,94
143,Instalação Beta 143,Marina,2024-02-12,2024-05-22,425000,471554,98
144,Manutenção Alpha 144,Ana,2024-03-23,2024-06-15,125000,149215,6
145,Instalação Beta 145,João,2024-10-02,2025-01-22,345000,292207,39
146,Manutenção Beta 146,Ana,2024-10-04,2024-12-04,365000,400594,39
147,Reforma Beta 147,Ricardo,2024-02-06,2024-07-29,375000,434702,4
148,Reforma Beta 148,João,2024-02-19,2024-05-02,190000,166513,97
149,Obra Delta 149,Carlos,2024-07-29,2025-01-03,70000,65456,24
150,Obra Beta 150,Ana,2024-02-08,2024-05-07,75000,60871,59
151,Expansão Alpha 151,Ana,2024-06-05,2024-11-26,305000,272632,61
152,Manutenção Gama 152,Ricardo,2024-05-27,2024-08-13,350000,406027,87
153,Expansão Gama 153,João,2024-08-18,2025-01-14,475000,385199,59
154,Manutenção Gama 154,Marina,2024-01-20,2024-05-01,440000,497908,50
155,Expansão Alpha 155,Ricardo,2024-05-24,2024-09-07,80000,70256,94
156,Expansão Alpha 156,Ana,2024-01-18,2024-06-30,330000,341065,0
157,Obra Beta 157,Marina,2024-05-15,2024-09-15,225000,214400,74
158,Reforma Beta 158,Ricardo,2024-05-04,2024-06-23,250000,294624,40
159,Obra Beta 159,Marina,2024-05-13,2024-07-29,55000,64838,16
160,Manutenção Delta 160,Carlos,2024-07-06,2024-10-24,310000,250476,65
161,Expansão Alpha 161,Ana,2024-01-13,2024-05-15,435000,378492,99
162,Reforma Beta 162,Ana,2024-01-02,2024-04-30,70000,66488,98
163,Obra Alpha 163,Carlos,2024-02-12,2024-05-01,195000,175924,74
164,Obra Beta 164,Ana,2024-03-20,2024-07-03,370000,414318,97
165,Reforma Beta 165,Ricardo,2024-07-20,2024-08-19,295000,320880,42
166,Manutenção Gama 166,Marina,2024-01-26,2024-06-02,435000,430395,95
167,Manutenção Beta 167,Ana,2024-07-06,2024-09-09,90000,106092,46
168,Expansão Beta 168,Ana,2024-05-20,2024-08-16,285000,285905,12
169,Reforma Delta 169,João,2024-05-08,2024-08-04,235000,213031,40
170,Manutenção Gama 170,João,2024-04-08,2024-08-07,450000,480743,43
171,Instalação Alpha 171,Marina,2024-02-26,2024-08-20,190000,221362,50
172,Instalação Delta 172,Ana,2024-04-23,2024-08-07,185000,185767,59
173,Expansão Beta 173,João,2024-03-04,2024-05-03,180000,198099,36
174,Manutenção Delta 174,Ana,2024-05-11,2024-10-01,445000,517629,43
175,Obra Alpha 175,Marina,2024-02-08,2024-03-25,390000,315902,58
176,Manutenção Alpha 176,João,2024-05-18,2024-10-17,130000,129144,18
177,Reforma Delta 177,João,2024-10-12,2025-02-08,65000,76793,55
178,Manutenção Alpha 178,Ana,2024-05-18,2024-08-31,140000,162065,84
179,Instalação Delta 179,Marina,2024-05-02,2024-08-31,300000,289441,28
180,Reforma Delta 180,Marina,2024-04-01,2024-05-21,235000,198663,10
181,Manutenção Gama 181,Ricardo,2024-01-30,2024-04-11,440000,425551,59
182,Manutenção Delta 182,Carlos,2024-03-18,2024-09-03,205000,218085,25
183,Obra Beta 183,Ana,2024-04-09,2024-09-04,140000,138891,35
184,Obra Alpha 184,Carlos,2024-03-14,2024-05-01,390000,350280,69
185,Instalação Alpha 185,Carlos,2024-05-30,2024-08-07,175000,140336,60
186,Instalação Gama 186,João,2024-10-05,2024-11-14,180000,157642,84
187,Obra Gama 187,Marina,2024-09-10,2025-02-16,350000,321841,5
188,Manutenção Beta 188,Carlos,2024-01-25,2024-07-19,475000,522140,63
189,Manutenção Alpha 189,Ana,2024-01-07,2024-03-15,240000,213365,90
190,Expansão Alpha 190,Carlos,2024-10-09,2025-03-30,200000,231370,59
191,Expansão Gama 191,João,2024-01-11,2024-03-27,285000,253462,42
192,Reforma Beta 192,Ana,2024-07-15,2025-01-08,480000,524342,23
193,Obra Delta 193,João,2024-09-08,2024-12-17,370000,377307,53
194,Manutenção Delta 194,Ana,2024-07-08,2024-12-20,495000,444864,82
195,Instalação Alpha 195,Ricardo,2024-02-29,2024-08-18,440000,527022,32
196,Expansão Gama 196,Ricardo,2024-02-24,2024-06-19,250000,248225,92
197,Expansão Gama 197,Carlos,2024-06-08,2024-10-02,60000,56124,78
198,Obra Alpha 198,Carlos,2024-05-05,2024-10-01,480000,428600,100
199,Manutenção Gama 199,Ana,2024-06-08,2024-10-17,405000,476489,56
200,Expansão Delta 200,Ricardo,2024-01-01,2024-03-27,345000,363280,89
201,Expansão Delta 201,Ricardo,2024-01-01,2024-03-27,345000,303280,89
